,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000069011.10,PITX1,5.645674869,18.68428555,0.323792959,4.769657585,0.366367203,13.01878974,9.57E-39,2.69E-34
ENSG00000170689.8,HOXB9,2.542841495,8.723280511,0.020213326,4.760790025,0.45601708,10.43993797,1.63E-25,2.29E-21
ENSG00000180818.4,HOXC10,2.801117363,9.515087862,0.060721241,4.573976434,0.450076946,10.16265436,2.91E-24,2.72E-20
ENSG00000005073.5,HOXA11,1.968120815,6.790016813,0,4.704004551,0.464198762,10.13359996,3.92E-24,2.75E-20
ENSG00000253293.3,HOXA10,3.490951038,11.39924263,0.263076918,4.273310612,0.424645743,10.06323667,8.03E-24,4.51E-20
ENSG00000128710.5,HOXD10,2.571228206,8.771584074,0.040470709,4.602450782,0.459700694,10.01184215,1.35E-23,6.33E-20
ENSG00000151615.3,POU4F2,3.275094764,10.65474879,0.262991079,3.962234866,0.399432324,9.919665063,3.42E-23,1.37E-19
ENSG00000106031.6,HOXA13,2.456714139,8.02965272,0.182045331,4.16589885,0.422501813,9.860073322,6.20E-23,2.18E-19
ENSG00000128709.10,HOXD9,2.226868536,7.186919798,0.202357816,3.657288226,0.414984131,8.813079713,1.22E-18,3.80E-15
ENSG00000175879.7,HOXD8,1.709837506,5.601476941,0.121413247,3.86684022,0.441813003,8.752210086,2.09E-18,5.88E-15
ENSG00000106004.4,HOXA5,2.198025114,7.08753252,0.202307805,3.879624361,0.447708454,8.665515085,4.49E-18,1.11E-14
ENSG00000152779.12,SLC16A12,55.42203664,167.6663979,9.608011637,3.513877491,0.405780778,8.659546448,4.74E-18,1.11E-14
ENSG00000113196.2,HAND1,1.939326182,6.244745112,0.182012333,3.703297111,0.434147072,8.530052036,1.46E-17,3.16E-14
ENSG00000171540.6,OTP,3.203560344,9.169070101,0.768658402,2.99853816,0.356332866,8.414991835,3.93E-17,7.88E-14
ENSG00000056736.5,IL17RB,1311.101222,2144.334132,971.0061566,1.392757088,0.171001042,8.144728652,3.80E-16,7.12E-13
ENSG00000163817.11,SLC6A20,173.0365778,433.2822255,66.81386452,2.355393001,0.297614409,7.914243839,2.49E-15,4.37E-12
ENSG00000197757.7,HOXC6,1.32180997,4.411567164,0.060684584,3.608890689,0.459910019,7.846949488,4.26E-15,7.04E-12
ENSG00000112303.9,VNN2,25.74519701,62.90119014,10.57948553,2.490891037,0.319211114,7.803271648,6.03E-15,9.20E-12
ENSG00000183943.5,PRKX,604.749605,900.2916355,484.1202048,1.419148852,0.181957299,7.799351057,6.22E-15,9.20E-12
ENSG00000180229.8,HERC2P3,1987.225167,3987.179721,1170.917186,2.068672846,0.266370874,7.766137556,8.09E-15,1.14E-11
ENSG00000166426.7,CRABP1,365.4665328,867.6974397,160.4743258,2.151887472,0.286035632,7.523144775,5.35E-14,7.15E-11
ENSG00000150782.7,IL18,156.7992638,328.8559944,86.57202689,2.023017785,0.269480815,7.507093897,6.05E-14,7.72E-11
ENSG00000168779.14,SHOX2,6.220894192,16.70274221,1.942588881,2.590579146,0.346584575,7.47459447,7.74E-14,9.46E-11
ENSG00000106809.6,OGN,513.0835881,1554.775327,87.90328628,3.096561721,0.414691311,7.467148793,8.20E-14,9.59E-11
ENSG00000100985.7,MMP9,11.66655238,29.79148904,4.268619046,2.597536777,0.348314056,7.457456078,8.82E-14,9.91E-11
ENSG00000146278.10,PNRC1,1874.122041,2611.274344,1573.24355,0.787521831,0.106119437,7.42108944,1.16E-13,1.25E-10
ENSG00000127083.7,OMD,204.5615689,479.2931711,92.42622102,2.078429798,0.281098632,7.393952007,1.43E-13,1.48E-10
