,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000182718.11,ANXA2,894.8785898,1737.264726,551.0475137,1.443345596,0.313930291,4.597662718,4.27E-06,0.000160218
ENSG00000176853.11,FAM91A1,1495.543417,2212.415061,1202.942747,0.725642855,0.157849943,4.597042245,4.29E-06,0.000160482
ENSG00000127483.13,HP1BP3,6150.888722,7184.373003,5729.058404,0.455268165,0.099068066,4.595508766,4.32E-06,0.000161451
ENSG00000166822.8,TMEM170A,833.695673,942.409198,789.3228056,0.526316093,0.114561639,4.594173911,4.34E-06,0.000162272
ENSG00000128059.4,PPAT,571.8331108,683.4512079,526.2747038,0.453213077,0.098682775,4.592626002,4.38E-06,0.000163264
ENSG00000144644.10,GADL1,7.612738991,20.46987149,2.364929806,2.133326838,0.464541841,4.592324419,4.38E-06,0.000163283
ENSG00000116815.11,CD58,110.5173475,162.381757,89.34820073,0.891121481,0.194098758,4.591072556,4.41E-06,0.000163919
ENSG00000244682.3,FCGR2C,31.53138255,55.07102946,21.92336341,1.585470914,0.345346186,4.59096112,4.41E-06,0.000163919
ENSG00000236255.1,AC009404.2,88.02986796,105.6743853,80.82802413,0.624464276,0.136032585,4.590549223,4.42E-06,0.000164026
ENSG00000143867.5,OSR1,66.05813212,137.8349615,36.76146708,1.46113406,0.318329724,4.590001965,4.43E-06,0.000164239
ENSG00000118503.10,TNFAIP3,138.6813087,223.3502046,104.1225756,1.143536524,0.249155466,4.58965056,4.44E-06,0.000164299
ENSG00000108256.4,NUFIP2,2736.104226,3311.886472,2501.091065,0.478464644,0.104338398,4.585700504,4.52E-06,0.000166997
ENSG00000125257.9,ABCC4,196.8282571,282.0504492,162.0436889,0.97241062,0.212045845,4.585850857,4.52E-06,0.000166997
ENSG00000189306.6,RRP7A,1321.327128,1063.308411,1426.64089,-0.526177916,0.114763758,-4.584878774,4.54E-06,0.000167435
ENSG00000253696.2,RP11-439C15.2,252.2604882,334.0608861,218.8725707,0.835967756,0.182361501,4.58412413,4.56E-06,0.00016782
ENSG00000183317.12,EPHA10,876.1995623,622.0134805,979.9489834,-0.742064122,0.161931575,-4.582578289,4.59E-06,0.000168845
ENSG00000087903.8,RFX2,370.3503405,459.9943096,333.7609654,0.776911,0.16960662,4.580664352,4.64E-06,0.00016951
ENSG00000111319.8,SCNN1A,8.633840828,19.03395761,4.388895203,1.72195011,0.375877855,4.581142747,4.62E-06,0.00016951
ENSG00000127951.5,FGL2,348.6407578,706.9294286,202.400484,1.435670781,0.313385574,4.581164226,4.62E-06,0.00016951
